"","person","family","community","county","province","age","gender","urban","vet","edu_yrs","lang","read_books","hours_tv","avg_sleep","smoked","coverage","govt_rating","welfare_housing","self-health","wechat","2020_employment","reason_unemployed","children","married","income_satis","income_rel","status_rel"
"17972",350093431,582625,-9,1079,33,32,0,1,-8,9,1,0,10.5,8,0,6,5,-8,3,1,-8,-8,6,2,3,3,1
"17973",130152103,582657,-9,52,13,35,1,0,-8,-9,1,0,14,7,1,2,3,-8,3,1,-1,-8,2,1,2,3,3
"17974",582657701,582657,-9,52,13,35,0,0,-8,15,1,1,7,8,0,2,2,-8,3,1,21205,-8,2,-8,4,3,3
"17975",620446108,582820,127853,2966,63,26,0,1,-8,15,1,1,4,6,0,2,1,-8,2,1,-8,-8,1,1,4,3,3
"17976",130465103,130465,764835,172,11,43,1,1,1,9,1,0,3.5,7,1,2,3,-8,1,1,-8,-8,0,2,4,5,1
"17977",360315103,582971,935643,2006,44,27,1,1,-8,15,1,1,3,8,0,2,1,-8,3,1,-8,-8,0,1,2,2,3
"17978",360328103,582980,105000,13,36,28,0,0,-8,11,1,1,5,8,0,6,3,-8,3,1,62207,-8,2,-8,3,3,1
"17979",582980601,582980,105000,13,36,28,1,0,-8,-9,1,1,3,7,0,5,3,-8,3,1,40713,-8,2,-8,3,3,3
"17980",410486103,582988,923238,1646,41,33,0,1,-8,12,1,0,21,8,0,78,4,-8,2,1,-8,-8,1,4,4,3,3
"17981",210078102,583065,677475,192,12,55,1,0,-8,6,1,0,0,9,1,5,1,-8,1,1,-8,-8,1,2,5,5,5
"17982",130859105,130859,804802,48,13,34,0,1,-8,6,1,1,8,8,0,6,1,-8,3,1,-8,-8,4,2,2,2,2
"17983",210318102,583246,287399,2005,44,25,1,1,-8,16,1,1,4,6,1,2,3,-8,3,1,-8,-8,0,1,4,2,1
"17984",210613102,583449,825959,148,21,36,0,0,-8,12,1,1,1,8,0,2,2,-8,3,1,-8,-8,0,1,3,1,1
"17985",140090103,140090,653422,424,14,28,0,0,-8,12,1,1,4,7.5,0,5,2,-8,3,1,-8,6,1,2,-8,3,2
"17986",370584101,370584,126500,66,37,78,1,1,-8,9,1,0,21,8,0,5,2,-8,3,0,-8,4,0,2,4,4,4
"17987",370584102,370584,126500,66,37,76,0,1,-8,6,1,0,14,8,0,5,3,-8,5,0,-8,4,0,2,-8,5,4
"17988",370584103,370584,126500,66,37,45,1,1,-8,16,1,1,2,7,0,6,1,-8,3,1,-8,-8,0,1,4,3,4
"17989",140231105,583586,584204,118,44,23,1,1,-8,15,1,1,1,7,1,3,5,-8,3,1,-8,-8,0,1,4,4,2
"17990",370750101,370750,885238,8467,37,51,1,1,-8,9,1,1,14,8,1,5,3,-8,3,1,-8,-8,1,2,4,3,2
"17991",370750102,370750,885238,8467,37,52,0,1,-8,9,1,1,7,7,0,5,3,-8,3,1,-8,2,1,2,2,3,4
"17992",370750103,370750,885238,8467,37,27,0,1,-8,16,1,1,0,8,0,2,2,-8,3,1,-8,-8,1,2,4,3,3
"17993",583625601,370750,885238,8467,37,30,1,1,-8,16,1,0,14,7,0,2,2,-8,2,1,-8,-8,1,2,5,3,1
"17994",210918105,583696,839737,672,21,29,0,1,-8,16,1,0,30,7,0,2,3,-8,3,1,-8,-8,1,2,2,3,3
"17995",583696651,583696,839737,672,21,29,1,1,-8,9,1,0,5,8,1,5,3,-8,1,1,-8,-8,1,2,5,3,3
